no	state	constituency	nameofelectedmp	partyaffiliation
86	Chattisgarh	Bilaspur	Arun Sao	Bharatiya Janata Party
87	Chattisgarh	Rajnandgaon	Santosh Pandey	Bharatiya Janata Party
88	Chattisgarh	Durg	Vijay Baghel	Bharatiya Janata Party
89	Chattisgarh	Raipur	Sunil Kumar Soni	Bharatiya Janata Party
90	Chattisgarh	Mahasamund	Chunni Lal Sahu	Bharatiya Janata Party
91	Chattisgarh	Bastar	Deepak Baij	Indian National Congress
92	Chattisgarh	Kanker	Mohan Mandavi	Bharatiya Janata Party
93	Goa	North Goa	Shripad Yesso Naik	Bharatiya Janata Party
94	Goa	South Goa	Francisco Sardinha	Indian National Congress
95	Gujarat	Kachchh	Vinodbhai Chavda	Bharatiya Janata Party
96	Gujarat	Banaskantha	Parbatbhai Patel	Bharatiya Janata Party
97	Gujarat	Patan	Bharatsinhji Dabhi Thakor	Bharatiya Janata Party
98	Gujarat	Mahesana	Shardaben Patel	Bharatiya Janata Party
99	Gujarat	Sabarkantha	Dipsinh Rathod	Bharatiya Janata Party
100	Gujarat	Gandhinagar	Amit Shah	Bharatiya Janata Party
101	Gujarat	Ahmedabad East	Hasmukh Patel	Bharatiya Janata Party
102	Gujarat	Ahmedabad West	Kirit Solanki	Bharatiya Janata Party
103	Gujarat	Surendranagar	Mahendra Munjapara	Bharatiya Janata Party
104	Gujarat	Rajkot	Mohan Kundariya	Bharatiya Janata Party
105	Gujarat	Porbandar	Rameshbhai Dhaduk	Bharatiya Janata Party
106	Gujarat	Jamnagar	Poonamben Maadam	Bharatiya Janata Party
107	Gujarat	Junagadh	Rajesh Chudasama	Bharatiya Janata Party
108	Gujarat	Amreli	Naranbhai Kachhadia	Bharatiya Janata Party
109	Gujarat	Bhavnagar	Bharti Shiyal	Bharatiya Janata Party
110	Gujarat	Anand	Miteshbhai Patel	Bharatiya Janata Party
111	Gujarat	Kheda	Devusinh Chauhan	Bharatiya Janata Party
112	Gujarat	Panchmahal	Ratansinh Rathod	Bharatiya Janata Party
113	Gujarat	Dahod	Jasvantsinh Bhabhor	Bharatiya Janata Party
114	Gujarat	Vadodara	Ranjanben Bhatt	Bharatiya Janata Party
115	Gujarat	Chhota Udaipur	Gitaben Rathva	Bharatiya Janata Party
116	Gujarat	Bharuch	Mansukhbhai Vasava	Bharatiya Janata Party
117	Gujarat	Bardoli	Parbhubhai Vasava	Bharatiya Janata Party
118	Gujarat	Surat	Darshana Jardosh	Bharatiya Janata Party
119	Gujarat	Navsari	C. R. Patil	Bharatiya Janata Party
120	Gujarat	Valsad	K C Patel	Bharatiya Janata Party
121	Haryana	Ambala	Rattan Lal Kataria	Bharatiya Janata Party
122	Haryana	Kurukshetra	Nayab Singh	Bharatiya Janata Party
123	Haryana	Sirsa	Sunita Duggal	Bharatiya Janata Party
124	Haryana	Hisar	Brijendra Singh	Bharatiya Janata Party
125	Haryana	Karnal	Sanjay Bhatia	Bharatiya Janata Party
126	Haryana	Sonipat	Ramesh Chander Kaushik	Bharatiya Janata Party
127	Haryana	Rohtak	Arvind Kumar Sharma	Bharatiya Janata Party
